year,city,country,avg_temp,local,avg_temp,global
1843,Riyadh,Saudi Arabia,24.74,23.07375,8.72,8.03
1844,Riyadh,Saudi Arabia,15.45,,7.98,
1845,Riyadh,Saudi Arabia,20.82,,5.78,
1846,Riyadh,Saudi Arabia,,,8.39,
1847,Riyadh,Saudi Arabia,,,8.47,
1848,Riyadh,Saudi Arabia,24.56,,8.36,
1849,Riyadh,Saudi Arabia,24.8,,8.85,
1850,Riyadh,Saudi Arabia,24.34,,9.02,
1851,Riyadh,Saudi Arabia,25.03,,6.74,
1852,Riyadh,Saudi Arabia,24.85,,7.99,
1853,Riyadh,Saudi Arabia,24.93,24.62,7.19,7.982
1854,Riyadh,Saudi Arabia,24.72,,8.77,
1855,Riyadh,Saudi Arabia,24.92,,8.61,
1856,Riyadh,Saudi Arabia,24.57,,7.5,
1857,Riyadh,Saudi Arabia,24.26,,8.4,
1858,Riyadh,Saudi Arabia,25.01,,8.25,
1859,Riyadh,Saudi Arabia,24.95,,8.41,
1860,Riyadh,Saudi Arabia,24.94,,8.22,
1861,Riyadh,Saudi Arabia,24.13,,6.78,
1862,Riyadh,Saudi Arabia,23.77,,7.69,
1863,Riyadh,Saudi Arabia,24.28,24.96,7.69,8.398
1864,Riyadh,Saudi Arabia,25.03,,7.85,
1865,Riyadh,Saudi Arabia,25.23,,8.19,
1866,Riyadh,Saudi Arabia,24.92,,8.22,
1867,Riyadh,Saudi Arabia,25.22,,8.77,
1868,Riyadh,Saudi Arabia,25,,9.18,
1869,Riyadh,Saudi Arabia,25.3,,8.3,
1870,Riyadh,Saudi Arabia,25.02,,8.26,
1871,Riyadh,Saudi Arabia,24.73,,8.54,
1872,Riyadh,Saudi Arabia,24.87,,8.98,
1873,Riyadh,Saudi Arabia,25.24,25.085,9.43,8.14
1874,Riyadh,Saudi Arabia,24.98,,8.1,
1875,Riyadh,Saudi Arabia,24.43,,7.9,
1876,Riyadh,Saudi Arabia,24.89,,7.68,
1877,Riyadh,Saudi Arabia,25.47,,7.86,
1878,Riyadh,Saudi Arabia,25.51,,7.36,
1879,Riyadh,Saudi Arabia,25.24,,8.26,
1880,Riyadh,Saudi Arabia,24.8,,8.03,
1881,Riyadh,Saudi Arabia,25.63,,8.45,
1882,Riyadh,Saudi Arabia,24.66,,8.33,
1883,Riyadh,Saudi Arabia,25.19,25.109,7.98,8.337
1884,Riyadh,Saudi Arabia,24.8,,8.23,
1885,Riyadh,Saudi Arabia,24.98,,8.09,
1886,Riyadh,Saudi Arabia,24.98,,8.23,
1887,Riyadh,Saudi Arabia,24.81,,8.53,
1888,Riyadh,Saudi Arabia,25.13,,8.35,
1889,Riyadh,Saudi Arabia,25.52,,8.27,
1890,Riyadh,Saudi Arabia,25.07,,8.51,
1891,Riyadh,Saudi Arabia,25.39,,8.67,
1892,Riyadh,Saudi Arabia,25.22,,8.51,
1893,Riyadh,Saudi Arabia,25.19,25.037,8.48,8.297
1894,Riyadh,Saudi Arabia,24.66,,8.59,
1895,Riyadh,Saudi Arabia,24.69,,8.58,
1896,Riyadh,Saudi Arabia,24.88,,8.5,
1897,Riyadh,Saudi Arabia,24.86,,8.84,
1898,Riyadh,Saudi Arabia,24.88,,8.56,
1899,Riyadh,Saudi Arabia,25.12,,8.43,
1900,Riyadh,Saudi Arabia,25.29,,8.28,
1901,Riyadh,Saudi Arabia,25.55,,7.63,
1902,Riyadh,Saudi Arabia,25.25,,7.08,
1903,Riyadh,Saudi Arabia,24.64,24.834,6.92,7.252
1904,Riyadh,Saudi Arabia,25.07,,6.86,
1905,Riyadh,Saudi Arabia,24.87,,7.05,
1906,Riyadh,Saudi Arabia,24.85,,7.74,
1907,Riyadh,Saudi Arabia,24.44,,7.59,
1908,Riyadh,Saudi Arabia,24.95,,7.24,
1909,Riyadh,Saudi Arabia,25.57,,6.94,
1910,Riyadh,Saudi Arabia,24.75,,6.98,
